X,Y,Z,Time,Distance,Stability,X_ref,Y_ref,Z_ref
-26.022231512198985,9.847272718240077,-10.281104934857783,194.56,17.005953367367745,T1,14.032403584705127,3.885865604864821,-1.0397704404963406
-24.86687109149237,10.675189871519148,-13.188834000693195,194.57,17.824917913915673,T1,13.51640019345529,3.8150767348148302,-3.562826150272045
-23.43662243079528,11.285703728076362,-16.147917116339798,194.58,18.981248214600615,T1,12.690136765213067,3.893008697847106,-5.9957134733702
-21.76440193368449,11.68051389742063,-19.10687859979249,194.59,20.457769633427034,T1,12.013450086323639,4.042892917448659,-7.542031928510396
-19.884098069735202,11.862279088674644,-22.009141463029152,194.6,21.48153099579764,T1,10.898470030406266,4.432957336679261,-9.729830298005119
-17.830207981060706,11.833828826126771,-24.795202970806088,194.61,22.1756984286487,T2,9.769685865535426,5.035821369938396,-11.762039770529368
-15.637792643857228,11.597502509336937,-27.405333091294334,194.62,22.707075431473097,T2,8.732050157802881,5.849003040033368,-13.65095131371611
-13.342563705171813,11.154671873511752,-29.78262864883915,194.63,23.28571672454744,T2,8.13427957367023,6.496222531352293,-14.83311611302321
-10.980912308106497,10.50549012044756,-31.876195395194635,194.64,23.844083535500705,T2,7.43142949516951,7.598194418231929,-16.488224166448976
-8.589733532512916,9.648893043158449,-33.64418258175215,194.65,24.025164295203734,T2,7.007975127639616,8.822436724341786,-18.006901134179564
-6.205971913685218,8.58285760191963,-35.05636975723752,194.66,23.626823632785673,T2,6.890747589295656,10.12036387540153,-19.420485524431175
-3.865894228852831,7.3049059381337464,-36.096013861105426,194.67,23.190014049468125,T2,6.979431507277021,10.993377837383228,-20.33117088949359
-1.6041674964708394,5.812830627929849,-36.76071325910132,194.68,22.66906032929585,T2,7.331615713485089,12.25227122634476,-21.69251265443906
0.5471317626500033,4.105609767122927,-37.06213523121618,194.69,22.03974588485136,T2,7.885997853668557,13.373607609726522,-23.084788928675888
2.5594349484347934,2.184474723889154,-37.02457827948083,194.7,21.169242687033684,T1,8.32753425645849,14.004025451969504,-24.03836910486202
4.408399378978816,0.05408382558536976,-36.68248573975693,194.71,19.942292589168247,T1,9.029738795304064,14.710741131768728,-25.50125922445872
6.074340598023335,-2.2762620906330477,-36.07716956617977,194.72,18.687411468485276,T1,9.68659935252389,15.049991523727499,-26.986842279582806
7.542343511051074,-4.791450963345281,-35.25311596311416,194.73,17.52834797900464,T1,10.181706748045714,14.948653618410056,-28.477493051660954
8.802064715198078,-7.469552359365343,-34.25430526024608,194.74,16.536944244596086,T1,10.365574329422381,14.625181856124708,-29.46621065649265
9.847272718240077,-10.281104934857783,-33.12097470669958,194.75,15.83211729820326,T1,10.355279973321329,13.787085746492208,-30.926225804040232
10.675189871519148,-13.188834000693195,-31.887183877441267,194.76,15.447675610024989,T1,9.9549444674415,12.603705122431407,-32.32979631042983
11.285703728076362,-16.147917116339798,-30.579418790148345,194.77,15.532215441481686,T1,9.147521099931135,11.188306028077118,-33.62999548722582
11.68051389742063,-19.10687859979249,-29.216314202244412,194.78,16.043582785494447,T1,8.386904234521333,10.18329967400561,-34.40910451219818
11.862279088674644,-22.009141463029152,-27.809412199200565,194.79,16.79384750666052,T1,6.931438890360092,8.704257210355479,-35.39529941742669
11.833828826126771,-24.795202970806088,-26.364735787382386,194.8,17.704164235738805,T1,5.141887644052974,7.408524106208915,-36.10709389740325
11.597502509336937,-27.405333091294334,-24.88485805458232,194.81,18.705965352579508,T1,3.7998500164415794,6.712311823512543,-36.406205794744714
11.154671873511752,-29.78262864883915,-23.37110160963139,194.82,19.692597860335077,T1,1.6305524587704712,5.9608428892538425,-36.570303779193566
10.50549012044756,-31.876195395194635,-21.825512848351348,194.83,20.563237271038105,T1,-0.6492053522756035,5.534230248419649,-36.375421226441595
9.648893043158449,-33.64418258175215,-20.252317288687834,194.84,21.26909763967593,T1,-2.9582546917867636,5.343775304727658,-35.80708011798627
8.58285760191963,-35.05636975723752,-18.658664846956427,194.85,21.758911580748766,T1,-4.46631792649533,5.291758653052653,-35.218696964013354
7.3049059381337464,-36.096013861105426,-17.054600924100363,194.86,22.002642682601888,T2,-6.587944229349538,5.240303396806216,-34.03426164082133
5.812830627929849,-36.76071325910132,-15.452331793641177,194.87,21.991954851180566,T2,-8.421222102503469,5.126006407697328,-32.525679461443886
4.105609767122927,-37.06213523121618,-13.864972531786579,194.88,21.500959657710816,T1,-9.863614471340831,4.870620805160416,-30.753839931391255
2.184474723889154,-37.02457827948083,-12.305054880988422,194.89,20.58264742276177,T1,-10.582986808488116,4.61098226858344,-29.4564258593019
0.05408382558536976,-36.68248573975693,-10.783114683189288,194.9,19.487026767998543,T1,-11.292699886944062,4.124562356364812,-27.369402003783236
-2.2762620906330477,-36.07716956617977,-9.306661530835632,194.91,18.274021645009544,T1,-11.57663155795401,3.609301320009679,-25.143093968976963
-4.791450963345281,-35.25311596311416,-7.879753451131164,194.92,17.00586018976353,T1,-11.552309874519029,3.2979721127151347,-23.600607767506
-7.469552359365343,-34.25430526024608,-6.503266842810028,194.93,15.632967857846038,T1,-11.259413473126665,2.922059153504399,-21.24030054149221
-10.281104934857783,-33.12097470669958,-5.175793378672849,194.94,14.090975951149819,T1,-10.766771342809378,2.666957030696971,-18.881720657543802
-13.188834000693195,-31.887183877441267,-3.894950937507722,194.95,12.699846686987966,T1,-10.195937924282832,2.5180763490056735,-16.58403275251317
-16.147917116339798,-30.579418790148345,-2.658803892538093,194.96,11.587845529789082,T1,-9.809916347236939,2.462010864199265,-15.109774009564344
-19.10687859979249,-29.216314202244412,-1.4670727144415998,194.97,10.851353624995008,T1,-9.226374732757785,2.407775218754111,-13.016433005969843
-22.009141463029152,-27.809412199200565,-0.3218749162098994,194.98,10.544824825786463,T1,-8.59484601057666,2.344090071988987,-11.101918252063207
-24.795202970806088,-26.364735787382386,0.7721391620276027,194.99,10.684255153803035,T1,-7.862670555567254,2.239594179849254,-9.397231678769476
-27.405333091294334,-24.88485805458232,1.808239801381939,195.0,10.487018202993445,T1,-7.306531599480363,2.1488872347222876,-8.380106970581862
-29.78262864883915,-23.37110160963139,2.7784942301323126,195.01,10.247527952194664,T1,-6.374683164110586,2.005333288474398,-7.015654805376496
-31.876195395194635,-21.825512848351348,3.6747861492930936,195.02,10.319123087506602,T1,-5.345713523089165,1.8902300332421853,-5.812096028868224
-33.64418258175215,-20.252317288687834,4.489654253678367,195.03,10.637535887659643,T1,-4.622583726570348,1.8485068786586714,-5.087543924067758
-35.05636975723752,-18.658664846956427,5.216668536513481,195.04,11.091233300306687,T1,-3.5188596103809986,1.8627114694183229,-4.125648987761106
-36.096013861105426,-17.054600924100363,5.8501924595018,195.05,11.548963738962053,T1,-2.44335746821545,1.9909036776572324,-3.349861289141444
-36.76071325910132,-15.452331793641177,6.384571597112543,195.06,11.92358995296685,T1,-1.4407704327864872,2.2380576293045844,-2.800175949928213
-37.06213523121618,-13.864972531786579,6.813001037817046,195.07,12.117382607654932,T1,-0.8220839997901881,2.4548386718907524,-2.56455272533381
-37.02457827948083,-12.305054880988422,7.126493692364584,195.08,12.14497799844511,T1,0.032458683053342124,2.8092879639686354,-2.3869562737478494
-36.68248573975693,-10.783114683189288,7.313435139436684,195.09,12.020836671455307,T1,0.8015637179615658,3.1210717670719212,-2.375771889070593
-36.07716956617977,-9.306661530835632,7.360124912022668,195.1,11.698265023974175,T1,1.4784621767094932,3.3073089599447587,-2.482267124537652
-35.25311596311416,-7.879753451131164,7.252471598228546,195.11,11.27485109134434,T1,1.8709239937432682,3.3330513711104426,-2.6036177477624047
-34.25430526024608,-6.503266842810028,6.978684433970838,195.12,10.792754594114081,T1,2.358706250037117,3.2054358413296367,-2.8547039040967115
-33.12097470669958,-5.175793378672849,6.532488563350762,195.13,10.25862349319495,T1,2.7103082103780647,2.8812362004299557,-3.187577119111531
-31.887183877441267,-3.894950937507722,5.916204550793788,195.14,9.812856308550009,T1,2.85874979586548,2.566437390809395,-3.448525765474616
-30.579418790148345,-2.658803892538093,5.143049407631712,195.15,9.538933072137505,T1,2.9307621598804934,1.9716031056931085,-3.869605179320494
-29.216314202244412,-1.4670727144415998,4.238215140638195,195.16,9.474202808425545,T1,2.7922030981336223,1.2676136349014187,-4.272231830980633
-27.809412199200565,-0.3218749162098994,3.2385647091713934,195.17,9.693329257876938,T1,2.4182445880919547,0.504386040790795,-4.5952627981958765
-26.364735787382386,0.7721391620276027,2.1910467532868725,195.18,10.10981540271608,T1,2.0359788297478882,-0.009082173972894979,-4.7472474124698785
-24.88485805458232,1.808239801381939,1.150099641427551,195.19,10.324597064028852,T1,1.2792122345534573,-0.7394580943077349,-4.8758743838822936
-23.37110160963139,2.7784942301323126,0.17437610465323589,195.2,10.177051748311142,T1,0.3438388320029027,-1.3661243960906426,-4.898197829846774
-21.825512848351348,3.6747861492930936,-0.6768869282734846,195.21,10.326470211517856,T1,-0.7037804044724038,-1.8374936565541196,-4.8227488558515095
-20.252317288687834,4.489654253678367,-1.347538623764972,195.22,10.313358552068147,T1,-1.425994626884133,-2.050995323673958,-4.710347431026506
-18.658664846956427,5.216668536513481,-1.787906184681492,195.23,9.949588104000041,T1,-2.4876501804621376,-2.2205513992724772,-4.420044335923152
-17.054600924100363,5.8501924595018,-1.9576083879171133,195.24,9.59613247747835,T1,-3.466623835133195,-2.236323284222065,-3.949066367784503
-15.452331793641177,6.384571597112543,-1.8275602272304612,195.25,8.679354632674192,T1,-4.051354952678256,-2.186983766717912,-3.5263881556712873
-13.864972531786579,6.813001037817046,-1.3810531343130679,195.26,7.751947483358875,T1,-4.808634345266979,-2.0713359091211987,-2.743964341513285
-12.305054880988422,7.126493692364584,-0.6139267237425426,195.27,6.935962905580685,T1,-5.410831577116898,-1.9643489998805865,-1.826956081218979
-10.783114683189288,7.313435139436684,0.4660384871747766,195.28,5.345815201431722,T1,-5.846277506845877,-1.921795670741318,-0.8316370144232039
-9.306661530835632,7.360124912022668,1.840305916433602,195.29,3.714465790020147,T1,-6.036549456037498,-1.9475216518624603,-0.14628417551670586
-7.879753451131164,7.252471598228546,3.481119917863444,195.3,2.511846026264526,T1,-6.161732479794628,-2.07609047365381,0.8976839630066962
-6.503266842810028,6.978684433970838,5.353187649707472,195.31,1.667909447759858,T1,-6.09338050806798,-2.299232784789803,1.9541019758863565
-5.175793378672849,6.532488563350762,7.415346590722868,195.32,0.8631666101598435,T1,-5.949380585866777,-2.4825509440834757,2.6626481828048805
-3.894950937507722,5.916204550793788,9.622122156685622,195.33,0.7734479430652439,T1,-5.616971575783599,-2.771425478630059,3.7217917854626017
-2.658803892538093,5.143049407631712,11.925144277374969,195.34,0.558233603194882,T1,-5.195961429781132,-3.0291268413562635,4.754373886345138
-1.4670727144415998,4.238215140638195,14.274443993022569,195.35,1.3917816252864006,T1,-4.743059699929536,-3.210177446634911,5.729253509178786
-0.3218749162098994,3.2385647091713934,16.619681843476815,195.36,2.8510719900521284,T1,-4.443488686332562,-3.2730585486261408,6.332319188010157
0.7721391620276027,2.1910467532868725,18.911364755224405,195.37,4.824995234429449,T1,-4.008320147226726,-3.269854616453636,7.149663946006744
1.808239801381939,1.150099641427551,21.10208872915397,195.38,6.93965868548149,T1,-3.579515638377978,-3.1489175904487463,7.849585381347486
2.7784942301323126,0.17437610465323589,23.14780801006674,195.39,9.190660828522567,T1,-3.1279474941375747,-2.919324430367711,8.424980393012056
3.6747861492930936,-0.6768869282734846,25.009089059698084,195.4,11.333102587098642,T1,-2.79780080368062,-2.7139797680274245,8.738605702807885
4.489654253678367,-1.347538623764972,26.652271987844486,195.41,13.235023760526751,T1,-2.241108489307936,-2.3447471203977592,9.106105507014368
5.216668536513481,-1.787906184681492,28.050442417837466,195.42,14.821229433530695,T1,-1.6051294062317174,-1.9298305041999633,9.355302455571929
5.8501924595018,-1.9576083879171133,29.184116876041042,195.43,16.046420062391505,T1,-1.1429748345169894,-1.6470504885474755,9.459111495586022
6.384571597112543,-1.8275602272304612,30.041563151844297,195.44,16.88791245501604,T1,-0.41387558002573566,-1.2474031049938517,9.525211008768084
6.813001037817046,-1.3810531343130679,30.61870875070682,195.45,16.927807717676252,T1,0.3228568925269558,-0.9202905072804087,9.485223448811926
7.126493692364584,-0.6139267237425426,30.918629664361433,195.46,16.51079270234855,T1,1.0225076767214125,-0.7127218913084186,9.338630353104897
